time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_taxi	arrivals_taxi	stuck_taxi	en-route_taxi
00:00:00	0	181	0	0	181	181	0	0	181
00:05:00	300	0	12	0	169	0	12	0	169
00:10:00	600	0	36	0	133	0	36	0	133
00:15:00	900	182	42	0	273	182	42	0	273
00:20:00	1200	0	49	0	224	0	49	0	224
00:25:00	1500	0	53	0	171	0	53	0	171
00:30:00	1800	141	60	0	252	141	60	0	252
00:35:00	2100	0	55	0	197	0	55	0	197
00:40:00	2400	0	55	0	142	0	55	0	142
00:45:00	2700	128	54	0	216	128	54	0	216
00:50:00	3000	0	59	0	157	0	59	0	157
00:55:00	3300	0	48	0	109	0	48	0	109
01:00:00	3600	123	37	0	195	123	37	0	195
01:05:00	3900	0	60	0	135	0	60	0	135
01:10:00	4200	0	48	0	87	0	48	0	87
01:15:00	4500	113	37	0	163	113	37	0	163
01:20:00	4800	0	41	0	122	0	41	0	122
01:25:00	5100	0	32	0	90	0	32	0	90
01:30:00	5400	129	43	0	176	129	43	0	176
01:35:00	5700	0	34	0	142	0	34	0	142
01:40:00	6000	0	36	0	106	0	36	0	106
01:45:00	6300	96	29	0	173	96	29	0	173
01:50:00	6600	0	49	0	124	0	49	0	124
01:55:00	6900	0	44	0	80	0	44	0	80
02:00:00	7200	110	21	0	169	110	21	0	169
02:05:00	7500	0	40	0	129	0	40	0	129
02:10:00	7800	0	36	0	93	0	36	0	93
02:15:00	8100	107	48	0	152	107	48	0	152
02:20:00	8400	0	31	0	121	0	31	0	121
02:25:00	8700	0	33	0	88	0	33	0	88
02:30:00	9000	79	24	0	143	79	24	0	143
02:35:00	9300	0	29	0	114	0	29	0	114
02:40:00	9600	0	27	0	87	0	27	0	87
02:45:00	9900	76	25	0	138	76	25	0	138
02:50:00	10200	0	28	0	110	0	28	0	110
02:55:00	10500	0	41	0	69	0	41	0	69
03:00:00	10800	70	25	0	114	70	25	0	114
03:05:00	11100	0	31	0	83	0	31	0	83
03:10:00	11400	0	30	0	53	0	30	0	53
03:15:00	11700	73	21	0	105	73	21	0	105
03:20:00	12000	0	13	0	92	0	13	0	92
03:25:00	12300	0	26	0	66	0	26	0	66
03:30:00	12600	65	30	0	101	65	30	0	101
03:35:00	12900	0	13	0	88	0	13	0	88
03:40:00	13200	0	36	0	52	0	36	0	52
03:45:00	13500	73	18	0	107	73	18	0	107
03:50:00	13800	0	22	0	85	0	22	0	85
03:55:00	14100	0	27	0	58	0	27	0	58
04:00:00	14400	78	13	0	123	78	13	0	123
04:05:00	14700	0	29	0	94	0	29	0	94
04:10:00	15000	0	25	0	69	0	25	0	69
04:15:00	15300	66	32	0	103	66	32	0	103
