time	EMPTY_DRIVE	PICKUP	OCCUPIED_DRIVE	DROPOFF	STAY	UNPLANNED
00:00	0.0	0.0	0.0	0.0	0.0	0.0
00:05	116.0	43.0	19.0	3.0	819.0	0.0
00:10	31.0	37.0	96.0	5.0	831.0	0.0
00:15	9.0	4.0	114.0	6.0	867.0	0.0
00:20	120.0	29.0	116.0	8.0	727.0	0.0
00:25	46.0	25.0	143.0	10.0	776.0	0.0
00:30	19.0	15.0	128.0	9.0	829.0	0.0
00:35	59.0	35.0	150.0	8.0	748.0	0.0
00:40	30.0	7.0	144.0	16.0	803.0	0.0
00:45	10.0	14.0	108.0	10.0	858.0	0.0
00:50	44.0	20.0	140.0	12.0	784.0	0.0
00:55	6.0	9.0	127.0	15.0	843.0	0.0
01:00	0.0	0.0	97.0	12.0	891.0	0.0
01:05	38.0	14.0	135.0	8.0	805.0	0.0
01:10	11.0	2.0	105.0	17.0	865.0	0.0
01:15	0.0	1.0	82.0	4.0	913.0	0.0
01:20	45.0	11.0	101.0	6.0	837.0	0.0
01:25	16.0	1.0	94.0	11.0	878.0	0.0
01:30	0.0	16.0	65.0	9.0	910.0	0.0
01:35	64.0	14.0	90.0	8.0	824.0	0.0
01:40	15.0	3.0	113.0	11.0	858.0	0.0
01:45	4.0	11.0	83.0	8.0	894.0	0.0
01:50	41.0	8.0	121.0	3.0	827.0	0.0
01:55	14.0	9.0	87.0	14.0	876.0	0.0
02:00	0.0	9.0	66.0	5.0	920.0	0.0
02:05	44.0	11.0	111.0	3.0	831.0	0.0
02:10	7.0	6.0	110.0	6.0	871.0	0.0
02:15	0.0	3.0	82.0	8.0	907.0	0.0
02:20	67.0	9.0	69.0	7.0	848.0	0.0
02:25	44.0	11.0	61.0	5.0	879.0	0.0
02:30	22.0	9.0	55.0	2.0	912.0	0.0
02:35	36.0	11.0	92.0	4.0	857.0	0.0
02:40	15.0	8.0	87.0	4.0	886.0	0.0
02:45	1.0	10.0	69.0	7.0	913.0	0.0
02:50	28.0	10.0	97.0	3.0	862.0	0.0
02:55	12.0	8.0	81.0	9.0	890.0	0.0
03:00	6.0	3.0	57.0	3.0	931.0	0.0
03:05	29.0	4.0	79.0	2.0	886.0	0.0
03:10	5.0	7.0	63.0	8.0	917.0	0.0
03:15	3.0	2.0	45.0	3.0	947.0	0.0
03:20	41.0	4.0	59.0	1.0	895.0	0.0
03:25	13.0	10.0	59.0	10.0	908.0	0.0
03:30	4.0	5.0	53.0	4.0	934.0	0.0
03:35	36.0	7.0	54.0	4.0	899.0	0.0
03:40	10.0	8.0	65.0	5.0	912.0	0.0
03:45	0.0	0.0	50.0	2.0	948.0	0.0
03:50	46.0	3.0	54.0	4.0	893.0	0.0
03:55	19.0	7.0	51.0	8.0	915.0	0.0
04:00	8.0	7.0	40.0	3.0	942.0	0.0
04:05	38.0	8.0	73.0	4.0	877.0	0.0
04:10	14.0	7.0	66.0	7.0	906.0	0.0
04:15	5.0	6.0	51.0	7.0	931.0	0.0
04:20	29.0	7.0	66.0	1.0	897.0	0.0
04:25	9.0	8.0	61.0	6.0	916.0	0.0
