time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_taxi	arrivals_taxi	stuck_taxi	en-route_taxi
00:00:00	0	230	0	0	230	230	0	0	230
00:05:00	300	50	14	0	266	50	14	0	266
00:10:00	600	50	48	0	268	50	48	0	268
00:15:00	900	232	54	0	446	232	54	0	446
00:20:00	1200	50	61	0	435	50	61	0	435
00:25:00	1500	50	71	0	414	50	71	0	414
00:30:00	1800	191	64	0	541	191	64	0	541
00:35:00	2100	50	100	0	491	50	100	0	491
00:40:00	2400	50	101	0	440	50	101	0	440
00:45:00	2700	178	91	0	527	178	91	0	527
00:50:00	3000	50	110	0	467	50	110	0	467
00:55:00	3300	50	108	0	409	50	108	0	409
01:00:00	3600	173	98	0	484	173	98	0	484
01:05:00	3900	50	127	0	407	50	127	0	407
01:10:00	4200	50	93	0	364	50	93	0	364
01:15:00	4500	163	96	0	431	163	96	0	431
01:20:00	4800	50	79	0	402	50	79	0	402
01:25:00	5100	50	82	0	370	50	82	0	370
01:30:00	5400	179	75	0	474	179	75	0	474
01:35:00	5700	50	92	0	432	50	92	0	432
01:40:00	6000	50	89	0	393	50	89	0	393
01:45:00	6300	146	79	0	460	146	79	0	460
01:50:00	6600	50	73	0	437	50	73	0	437
01:55:00	6900	50	82	0	405	50	82	0	405
02:00:00	7200	160	93	0	472	160	93	0	472
02:05:00	7500	50	85	0	437	50	85	0	437
02:10:00	7800	50	86	0	401	50	86	0	401
02:15:00	8100	157	81	0	477	157	81	0	477
02:20:00	8400	50	75	0	452	50	75	0	452
02:25:00	8700	50	82	0	420	50	82	0	420
02:30:00	9000	129	75	0	474	129	75	0	474
02:35:00	9300	50	82	0	442	50	82	0	442
02:40:00	9600	50	90	0	402	50	90	0	402
02:45:00	9900	126	68	0	460	126	68	0	460
02:50:00	10200	50	71	0	439	50	71	0	439
02:55:00	10500	50	108	0	381	50	108	0	381
03:00:00	10800	120	78	0	423	120	78	0	423
03:05:00	11100	50	90	0	383	50	90	0	383
03:10:00	11400	50	72	0	361	50	72	0	361
03:15:00	11700	123	92	0	392	123	92	0	392
03:20:00	12000	50	73	0	369	50	73	0	369
03:25:00	12300	50	85	0	334	50	85	0	334
03:30:00	12600	115	59	0	390	115	59	0	390
03:35:00	12900	50	77	0	363	50	77	0	363
03:40:00	13200	50	71	0	342	50	71	0	342
03:45:00	13500	123	61	0	404	123	61	0	404
03:50:00	13800	50	72	0	382	50	72	0	382
03:55:00	14100	50	56	0	376	50	56	0	376
04:00:00	14400	128	79	0	425	128	79	0	425
04:05:00	14700	50	73	0	402	50	73	0	402
04:10:00	15000	50	55	0	397	50	55	0	397
04:15:00	15300	116	72	0	441	116	72	0	441
04:20:00	15600	50	89	0	402	50	89	0	402
04:25:00	15900	50	70	0	382	50	70	0	382
04:30:00	16200	116	74	0	424	116	74	0	424
04:35:00	16500	50	70	0	404	50	70	0	404
04:40:00	16800	50	63	0	391	50	63	0	391
04:45:00	17100	125	79	0	437	125	79	0	437
04:50:00	17400	50	78	0	409	50	78	0	409
04:55:00	17700	50	67	0	392	50	67	0	392
05:00:00	18000	130	86	0	436	130	86	0	436
05:05:00	18300	50	74	0	412	50	74	0	412
05:10:00	18600	50	77	0	385	50	77	0	385
05:15:00	18900	117	70	0	432	117	70	0	432
05:20:00	19200	50	74	0	408	50	74	0	408
05:25:00	19500	50	70	0	388	50	70	0	388
05:30:00	19800	114	73	0	429	114	73	0	429
05:35:00	20100	0	70	0	359	0	70	0	359
05:40:00	20400	0	73	0	286	0	73	0	286
05:45:00	20700	88	58	0	316	88	58	0	316
05:50:00	21000	0	75	0	241	0	75	0	241
05:55:00	21300	0	47	0	194	0	47	0	194
06:00:00	21600	74	56	0	212	74	56	0	212
06:05:00	21900	0	62	0	150	0	62	0	150
06:10:00	22200	0	60	0	90	0	60	0	90
06:15:00	22500	130	53	0	167	130	53	0	167
06:20:00	22800	0	42	0	125	0	42	0	125
06:25:00	23100	0	42	0	83	0	42	0	83
