time	EMPTY_DRIVE	PICKUP	OCCUPIED_DRIVE	DROPOFF	STAY	UNPLANNED
00:00	0.0	0.0	0.0	0.0	0.0	0.0
00:05	162.0	44.0	20.0	3.0	771.0	1.0
00:10	83.0	56.0	106.0	8.0	747.0	1.0
00:15	82.0	17.0	151.0	7.0	743.0	1.0
00:20	210.0	42.0	171.0	8.0	569.0	1.0
00:25	189.0	40.0	177.0	17.0	577.0	1.0
00:30	115.0	55.0	222.0	8.0	600.0	1.0
00:35	194.0	39.0	280.0	14.0	473.0	1.0
00:40	171.0	32.0	263.0	14.0	520.0	1.0
00:45	116.0	55.0	242.0	17.0	570.0	1.0
00:50	157.0	34.0	298.0	26.0	485.0	1.0
00:55	119.0	48.0	275.0	18.0	540.0	1.0
01:00	77.0	28.0	272.0	20.0	603.0	1.0
01:05	136.0	39.0	267.0	26.0	532.0	1.0
01:10	103.0	34.0	240.0	23.0	600.0	1.0
01:15	82.0	23.0	231.0	21.0	643.0	1.0
01:20	143.0	35.0	228.0	12.0	582.0	1.0
01:25	88.0	44.0	238.0	18.0	612.0	1.0
01:30	67.0	31.0	249.0	12.0	641.0	1.0
01:35	172.0	30.0	239.0	18.0	541.0	1.0
01:40	171.0	21.0	208.0	17.0	583.0	1.0
01:45	126.0	43.0	182.0	25.0	624.0	1.0
01:50	172.0	38.0	227.0	9.0	554.0	1.0
01:55	166.0	27.0	215.0	15.0	577.0	1.0
02:00	131.0	34.0	214.0	14.0	607.0	1.0
02:05	179.0	37.0	224.0	16.0	544.0	1.0
02:10	155.0	28.0	218.0	25.0	574.0	1.0
02:15	136.0	27.0	219.0	13.0	605.0	1.0
02:20	199.0	32.0	223.0	11.0	535.0	1.0
02:25	171.0	29.0	221.0	17.0	562.0	1.0
02:30	150.0	29.0	217.0	15.0	589.0	1.0
02:35	161.0	34.0	246.0	16.0	543.0	1.0
02:40	142.0	33.0	234.0	19.0	572.0	1.0
02:45	121.0	32.0	223.0	16.0	608.0	1.0
02:50	157.0	38.0	238.0	12.0	555.0	1.0
02:55	140.0	25.0	242.0	19.0	574.0	1.0
03:00	116.0	42.0	202.0	12.0	628.0	1.0
03:05	123.0	32.0	231.0	18.0	596.0	1.0
03:10	115.0	24.0	215.0	16.0	630.0	1.0
03:15	97.0	26.0	210.0	17.0	650.0	1.0
03:20	133.0	18.0	211.0	15.0	623.0	1.0
03:25	129.0	13.0	199.0	14.0	645.0	1.0
03:30	105.0	31.0	175.0	16.0	673.0	1.0
03:35	134.0	24.0	189.0	22.0	631.0	1.0
03:40	133.0	27.0	171.0	18.0	651.0	1.0
03:45	118.0	25.0	177.0	9.0	671.0	1.0
03:50	166.0	25.0	187.0	9.0	613.0	1.0
03:55	151.0	22.0	181.0	13.0	633.0	1.0
04:00	137.0	31.0	171.0	19.0	642.0	1.0
04:05	199.0	26.0	168.0	15.0	592.0	1.0
04:10	162.0	38.0	172.0	15.0	613.0	1.0
04:15	139.0	20.0	205.0	14.0	622.0	1.0
04:20	180.0	27.0	205.0	12.0	576.0	1.0
04:25	173.0	26.0	177.0	14.0	610.0	1.0
04:30	144.0	37.0	179.0	12.0	628.0	1.0
04:35	182.0	29.0	182.0	12.0	595.0	1.0
04:40	163.0	37.0	178.0	14.0	608.0	1.0
04:45	141.0	22.0	199.0	16.0	622.0	1.0
04:50	170.0	34.0	200.0	15.0	581.0	1.0
04:55	164.0	27.0	204.0	7.0	598.0	1.0
05:00	129.0	23.0	197.0	24.0	627.0	1.0
05:05	180.0	33.0	204.0	7.0	576.0	1.0
05:10	174.0	21.0	190.0	13.0	602.0	1.0
05:15	159.0	19.0	174.0	17.0	631.0	1.0
05:20	166.0	45.0	186.0	17.0	586.0	1.0
05:25	149.0	20.0	203.0	16.0	612.0	1.0
