ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	138.99044085222067	138.99044085222067	138.99044085222067	138.99044085222067
1	138.91561157557157	138.91561157557157	138.91561157557157	138.91561157557157
2	138.97577281272456	138.97577281272456	138.97577281272456	138.97577281272456
3	138.86810398812423	138.86810398812423	138.86810398812423	138.86810398812423
4	138.90981208144143	138.90981208144143	138.90981208144143	138.90981208144143
5	139.0045430352345	139.0045430352345	139.0045430352345	139.0045430352345
6	138.8792922843805	138.8792922843805	138.8792922843805	138.8792922843805
7	138.91942969477512	138.91942969477512	138.91942969477512	138.91942969477512
8	138.90100722928318	138.90100722928318	138.90100722928318	138.90100722928318
9	138.93980180044255	138.93980180044255	138.93980180044255	138.93980180044255
