Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	iterationEndsListeners	iteration
0	22:45:01	22:45:01	22:45:01			22:45:01	22:45:01	22:45:01	22:45:01	22:45:01	22:45:01	22:45:01	22:45:08	22:45:08	22:45:08	22:45:08	22:45:08	22:45:08	22:45:09	22:45:09		00:00:00		00:00:00	00:00:00	00:00:00	00:00:06	00:00:00	00:00:00	00:00:00	00:00:07
1	22:45:09	22:45:09	22:45:09	22:45:09	22:45:09	22:45:09	22:45:09	22:45:09	22:45:09	22:45:09	22:45:09	22:45:09	22:45:13	22:45:13	22:45:14	22:45:14	22:45:14	22:45:14	22:45:14	22:45:14		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:04	00:00:00	00:00:00	00:00:00	00:00:04
2	22:45:14	22:45:14	22:45:14	22:45:14	22:45:14	22:45:14			22:45:14	22:45:14	22:45:14	22:45:14	22:45:18	22:45:18	22:45:18	22:45:18	22:45:18	22:45:18	22:45:18	22:45:18		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00	00:00:00	00:00:04
3	22:45:18	22:45:18	22:45:18	22:45:18	22:45:18	22:45:18			22:45:18	22:45:18	22:45:18	22:45:18	22:45:22	22:45:22	22:45:22	22:45:22	22:45:22	22:45:22	22:45:22	22:45:22		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00	00:00:00	00:00:04
4	22:45:22	22:45:22	22:45:22	22:45:22	22:45:22	22:45:22			22:45:22	22:45:22	22:45:23	22:45:23	22:45:27	22:45:27	22:45:27	22:45:27	22:45:27	22:45:27	22:45:27	22:45:27		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00	00:00:00	00:00:04
5	22:45:27	22:45:27	22:45:27	22:45:27	22:45:27	22:45:27			22:45:27	22:45:27	22:45:27	22:45:27	22:45:32	22:45:32	22:45:32	22:45:32	22:45:32	22:45:32	22:45:32	22:45:32		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00	00:00:00	00:00:04
6	22:45:32	22:45:32	22:45:32	22:45:32	22:45:32	22:45:32			22:45:32	22:45:32	22:45:32	22:45:32	22:45:36	22:45:36	22:45:36	22:45:36	22:45:36	22:45:36	22:45:36	22:45:36		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00	00:00:00	00:00:04
7	22:45:36	22:45:36	22:45:36	22:45:36	22:45:36	22:45:36			22:45:36	22:45:36	22:45:36	22:45:36	22:45:40	22:45:40	22:45:40	22:45:40	22:45:40	22:45:40	22:45:40	22:45:40		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00	00:00:00	00:00:04
8	22:45:40	22:45:40	22:45:40	22:45:40	22:45:40	22:45:40			22:45:40	22:45:40	22:45:40	22:45:40	22:45:44	22:45:44	22:45:44	22:45:44	22:45:44	22:45:44	22:45:44	22:45:44		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00	00:00:00	00:00:03
9	22:45:44	22:45:44	22:45:44	22:45:44	22:45:44	22:45:44			22:45:44	22:45:44	22:45:44	22:45:44	22:45:48	22:45:48	22:45:48	22:45:48	22:45:48	22:45:48	22:45:49	22:45:49		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00	00:00:00	00:00:04
