iter		PassWaitTime_avg	PassWaitTime_sd	PassWaitTime_95%ile	PassWaitTime_max		EmptyDriveRatio_fleetAvg	EmptyDriveRatio_avg	EmptyDriveRatio_sd		StayRatio_fleetAvg	StayRatio_avg	StayRatio_sd		OccupDriveRatio_fleetAvg
0		974.8	1846.5	4746	15997		0.2981	0.2981	0.0220		0.4843	0.4843	0.0171		0.2619
1		996.1	1914.0	5060	16489		0.3025	0.3025	0.0192		0.4819	0.4819	0.0155		0.2619
2		979.0	1855.1	4677	16159		0.3017	0.3017	0.0182		0.4824	0.4824	0.0181		0.2619
3		1010.0	1936.4	5102	16470		0.3040	0.3041	0.0217		0.4811	0.4811	0.0173		0.2619
4		997.8	1923.8	4958	15974		0.3022	0.3023	0.0175		0.4821	0.4821	0.0152		0.2619
5		970.9	1820.8	4775	15903		0.2980	0.2980	0.0196		0.4843	0.4843	0.0150		0.2619
6		1006.5	1947.1	5091	16562		0.3033	0.3031	0.0156		0.4815	0.4815	0.0147		0.2619
7		994.8	1934.1	4916	16391		0.3035	0.3036	0.0216		0.4814	0.4814	0.0145		0.2619
8		1000.1	1942.6	5088	16669		0.3049	0.3051	0.0214		0.4806	0.4806	0.0162		0.2619
9		989.2	1901.0	4890	16196		0.3024	0.3024	0.0215		0.4820	0.4820	0.0150		0.2619
